task_id,task_name,MetaGNN,GIMME,iMAT,CORDA,tINIT
0,Task_000,1,1,1,1,1
1,Task_001,1,1,1,1,0
2,Task_002,1,1,1,1,1
3,Task_003,1,1,0,1,1
4,Task_004,1,0,1,1,1
5,Task_005,1,1,1,0,1
6,Task_006,1,1,1,0,1
7,Task_007,1,1,1,1,0
8,Task_008,1,0,1,1,0
9,Task_009,1,1,1,1,1
10,Task_010,1,1,0,1,1
11,Task_011,1,1,1,1,1
12,Task_012,1,1,1,0,1
13,Task_013,1,0,0,0,1
14,Task_014,1,0,1,1,1
15,Task_015,1,1,1,1,1
16,Task_016,1,0,1,1,1
17,Task_017,1,1,1,1,1
18,Task_018,1,1,1,1,1
19,Task_019,1,1,1,1,1
20,Task_020,1,0,0,1,1
21,Task_021,1,0,1,1,1
22,Task_022,1,1,1,1,1
23,Task_023,1,1,1,1,0
24,Task_024,1,0,0,1,1
25,Task_025,1,1,0,1,1
26,Task_026,1,1,0,1,1
27,Task_027,1,0,0,1,1
28,Task_028,1,1,1,1,0
29,Task_029,1,0,1,1,1
30,Task_030,1,1,1,1,1
31,Task_031,1,1,1,0,0
32,Task_032,1,1,1,1,1
33,Task_033,1,0,1,1,1
34,Task_034,1,1,1,0,1
35,Task_035,1,1,1,0,1
36,Task_036,1,1,1,1,1
37,Task_037,1,0,1,1,1
38,Task_038,1,1,1,1,0
39,Task_039,1,0,1,1,0
40,Task_040,1,1,1,0,1
41,Task_041,1,1,1,1,1
42,Task_042,1,1,1,1,1
43,Task_043,1,0,0,1,1
44,Task_044,1,1,0,1,1
45,Task_045,1,1,1,0,1
46,Task_046,1,0,1,0,0
47,Task_047,1,1,1,0,0
48,Task_048,1,1,0,1,1
49,Task_049,1,1,1,1,1
50,Task_050,1,1,0,1,1
51,Task_051,1,1,1,0,1
52,Task_052,1,1,1,1,1
53,Task_053,1,1,1,1,1
54,Task_054,1,1,1,1,0
55,Task_055,1,1,1,0,0
56,Task_056,0,0,1,1,1
57,Task_057,1,1,1,1,0
58,Task_058,0,1,1,1,1
